graceid,ifos,end_time,end_time_ns,mass,mchirp,minimum_duration,snr,far,ifar,log_ifar
G363056,"H1,L1",1265005689.0,942871094.0,4.2959685325623,1.6909023523331,222.27047391948,8.145120146057,0.0001764285407261,5668.017180689375,8.64259463197912
G336352,"H1,L1",1244671674.0,297363281.0,8.941143989563,2.6413385868073,104.61766211713,8.053614616394,1.214615713252e-05,82330.56670431259,11.31849772359579
G334303,"H1,L1,V1",1242973696.0,661132812.0,2.3191869258881,1.0093041658402,472.3550416843,8.9323711395264,3.1272003980121e-05,31977.48377864368,10.372787302199358
G336236,"H1,L1",1244578225.0,541992188.0,4.618748664856,1.9987953901291,165.0933601267,6.75465965271,0.0002764218079391,3617.65957416786,8.193582569258483
G335391,"H1,L1",1243832794.0,264160156.0,24.101898193359,8.5248222351074,15.58429144378,11.799686431885,0.0001369613746646,7301.328585875261,8.895811608641948
G332138,"H1,L1,V1",1241706079.0,431640625.0,106.46504211426,13.793231964111,7.7087487979448,8.2248525619507,0.0002388942230027,4185.953044116158,8.339489685579474
G345399,"H1,L1",1248388710.0,669433594.0,5.0137639045715,1.8582030534744,186.85979561385,13.135453224182,0.0001762883766787,5672.523729811893,8.643389399952763
G366381,"H1,L1",1267260995.0,708984375.0,3.508962392807,1.3974789381027,276.54091637521,7.7634163777054,0.0002309900010004,4329.1917211516375,8.373136134091627
G338077,"H1,L1",1246610487.0,830566406.0,19.193277359009,3.4749445915222,67.279165034536,8.6957082748413,0.0002545884926803,3927.9073043399294,8.275862070504438
G332017,"H1,L1",1241594277.0,563476562.0,57.377975463867,6.0194573402405,21.701007410849,7.4885201454163,0.0001216398886754,8220.987464633152,9.014445610352668
G333329,"H1,L1",1242251828.0,65429688.0,3.9998641014099,1.7148703336716,195.56558777735,7.3862309455872,0.0002545206225477,3928.954714907277,8.276128693634892
G356834,"H1,L1",1259849363.0,657226563.0,3.4052398204803,1.4487043619156,259.66004828866,6.5182481529918,0.0002906458685174,3440.613159584365,8.14340497854908
G337143,"H1,L1",1245590237.0,369140625.0,11.247250556946,4.5965061187744,40.022697602628,6.4881415367126,2.1814865249326e-05,45840.30149032878,10.732918928381146
G354865,"H1,L1",1258035465.0,214355468.0,81.962509155273,9.7955780029297,13.225427639048,7.8057193756104,0.0001943417155416,5145.575653753987,8.545892528064568
G355727,"H1,L1",1258866165.0,547363281.0,83.320739746094,10.779249191284,5.5872640857925,9.9106278355065,3.4592205338413e-05,28908.246531756897,10.271882180516393
G354901,"H1,L1",1258074220.0,653808593.0,40.71070098877,5.1923913955688,25.213573372767,9.3833932876587,3.3060743589886e-05,30247.35355032733,10.317163973692278
G353989,"H1,L1",1256966386.0,804199219.0,15.424310684204,5.4732975959778,30.059808313792,7.6616134643555,0.0001171907788375,8533.094582350088,9.051707362777286
G354594,"H1,L1",1257773305.0,250976563.0,9.0678291320801,3.8844683170319,53.670388869344,7.5166549682617,9.1194160631858e-05,10965.614388808328,9.30251969109333
G333108,"H1,L1",1242083164.0,240234375.0,10.898031234741,4.3821439743042,43.440343472488,6.358118057251,6.6762142523658e-05,14978.548653462363,9.614374366760831
G338332,"H1,L1",1246866099.0,704101562.0,3.9839200973511,1.5831189155579,221.12513734115,7.8490118980408,0.000189650862012,5272.847111743734,8.570325744561234
G345370,"H1,L1",1248365183.0,677246094.0,9.7879848480225,2.8485779762268,93.294080620953,8.1588373184204,7.988292054506e-05,12518.320476727244,9.434948488429288
G358463,"H1,L1",1261394550.0,943847656.0,3.9307241439819,1.6678371429443,205.92310186627,12.015373272731,0.0002107968903146,4743.9029983186,8.464615493233817
G348096,"H1,L1",1250684977.0,53710937.0,30.141567230225,4.3197889328003,46.656111595936,7.0611863136292,8.0831159721129e-05,12371.466689950304,9.423148026664276
G355785,"H1,L1",1258911811.0,291503906.0,3.5393414497375,1.4039361476898,270.24262335889,6.3711572350968,0.0002655216667335,3766.1709957684784,8.233814113329299
G351727,"H1,L1",1253614355.0,54199218.0,12.960619926453,3.0330412387848,78.493506824676,7.0871930122375,0.0002422623947495,4127.755779157368,8.325489143385425
G334046,"H1,L1",1242750272.0,941406250.0,8.3645086288452,3.5258231163025,63.986114337867,8.2168693542481,0.0001013984146993,9862.087123994374,9.196453101058005
G356746,"H1,L1",1259732056.0,145507813.0,2.5870988368988,1.1147671937943,400.46999064518,8.2651601938168,8.4541068645194e-05,11828.57061101094,9.378273122200602
G368129,"H1,L1",1268163594.0,80078125.0,11.450720787048,4.8486742973328,36.846658753873,6.2613626734102,0.0002230303798569,4483.694107688098,8.408202563240634
G345097,"H1,L1",1248176870.0,433593750.0,3.5268700122833,1.5109590291977,239.84094374807,7.0131559371948,0.0002239030436612,4466.218876027618,8.404297440609753
G346974,"H1,L1",1249627434.0,728515625.0,15.789099693298,3.1898593902588,70.288226824433,7.0617218017578,0.0002851701283361,3506.6786477057817,8.16242461426389
G358010,"H1,L1",1260954141.0,616699219.0,80.608825683594,13.742505073547,5.8744262437256,5.8979672881487,1.7597267287783e-05,56827.00521883051,10.947766935715054
G344559,"H1,L1,V1",1247523848.0,984375000.0,5.4997849464417,1.9648066759109,169.06338922041,7.3134832382202,0.0002266048977617,4412.967283043996,8.39230259547456
G344925,"H1,L1",1247969133.0,591796875.0,3.9398488998413,1.6945592164993,201.12689542323,11.085488319397,0.0002927834866568,3415.493173534273,8.136077175497464
